functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
단삼주정추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
단삼주정추출분말(SAGX),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
닭가슴연골분말(UC-II),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
닭가슴연골분말(UC-II)(기능성원료인정제2014-39호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
당귀등추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
당귤농축분말(ROCH),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
당조고추건조분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
대두올리고당,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
대두추출물등 복합물(메노세라),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
댕댕이나무열매(허니베리)추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
덖음귤피추출분말(JRC),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
도라지추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
돈태반 발효추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
돌외잎 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
돌외잎주정추출분말(액티포닌®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
돌외잎주정추출분말(액티포닌®)(기능성원료인정제2013-8호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
돌외잎추출물(기능성원료인정제2015-7호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
동결건조누에분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
동충하초 발효 추출물(기능성원료인정제2011-16호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
동충하초 주정추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
두충우슬추출복합물(KGC08EA),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
들쭉열매추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
라임과피추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
라임카카오추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
락추로스 파우더(Lactulose Powder)(기능성원료인정제2009-40호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
레몬 밤 추출물 혼합분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
레몬 밤 추출물 혼합분말(기능성원료인정제2010-24호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
레몬밤민들레추출복합물(LD100),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
레몬버베나추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
레몬버베나추출물 등 복합물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
레몬버베나추출물 등 복합물 (티에뜨레®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
로즈마리자몽추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
로즈마리추출물등복합물(SunMax),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
로즈힙 분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
로즈힙분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
루바브뿌리추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
루바브뿌리추출물(ERr731R),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
